Händler-SKU;ASIN 1;Artikelbezeichnung;Artikelbeschreibung;Angebotsnummer;Preis;Menge;Erstellungsdatum;Produkt-ID-Typ;Anmerkung zum Artikel;Artikelzustand;Internationaler Versand;Expressversand;Produkt-ID;Anzahl Bestellungen;Versender;Standardpreis;Produktsteuerschlüssel;Nettopreis
D2-BPL7-BY0T;B00EWSTA98;Barú Chocolate Chai Latte Powder & Schokofiguren, 2er Pack (2 x 250 g);Gewürzhaltiges Chai Getränkepulver mit Schokolade zur Zubereitung eines aromatischen Chais mit heißer oder kalter Milch. BARÚ Chocolate Chai Latte Pulver mit echte Gewürzen, belgischer dunkler Schokolade, echter Madagascar Bourbonvanille und ohne künstlichen Aromen. Ein echter Genuss für für Chai-Tee Freunde;1217USK101P;07. Feb;0;17/12/2018 11:12:50 MET;1;;11;;;B00EWSTA98;0;DEFAULT;;;
DB15574;B01H1PO5MK;China SIMAO Grade1 Gourmet Coffee - Kaffee Ganze Bohne;Der „China Simao“ stammt von der Kaffeefarm Simao Lancangjiang Coffee Co. Ltd. - eine von 126 Kaffeefarmen, die in der Simao Supply & Marketing Cooperative organisiert sind. Der Kaffee wird auf dem Yunnan-Guizhou Plateau, im südwestlichsten Teil Chinas, unter perfekten klimatischen Bedingungen angebaut. Im subtropischen Klima in Höhen von 1200 bis 1600 m gedeihen die Pflanzen hervorragend und sind vor unerwarteten Kälteeinbrüchen geschützt. Der Kaffee hat ein kräftiges und reichhaltiges Aroma mit einer dezent fruchtigen Note und einer angenehmen Säure. Ein richtiger Spitzenkaffee auf Weltklasse-Niveau.;0614QV5QDHI;27. Sep;0;14/06/2016 10:27:44 MEST;4;;11;;;4009636269887;0;DEFAULT;;;
DK88-117;B00YCE1BQC;Shincha Yame Supreme Grüner Tee aus Japan im Originalgebinde 50g;Ein Shincha, also ein Tee aus der Vorpflückung, zeichnet sich immer durch seinen frühlingshaften, Erwartungen erweckenden Duft aus. Ein Shincha aus Yame addiert dazu noch die regional-typische Süße;0527PVJ1NUC;15. Sep;0;27/05/2015 13:32:05 MEST;3;;11;;;737069840475;0;DEFAULT;;;
DK88-136;B00YCD5JFM;Bio Genmaicha Shizuoka japanischer Grüntee im Originalgebinde 100g;Um eine Geschmacksvariation zu erzielen, wird Bancha mit geröstetem Vollkornreis gemischt. Dies ergibt einen leicht bräunlich gefärbten Tee, wohlriechend, erfrischend und duftet leicht nach Popcorn.;0527PVH4LQC;09. Sep;13;27/05/2015 13:18:59 MEST;3;;11;;;737069840451;0;DEFAULT;;;
DK88-190;B00YCEBU5E;Sencha BIO Star No1 Grüner Tee aus Japan im Originalgebinde 100g;Der Sencha BIO-Star Nr. 1 ist eine feine Mischung aus den Teehybriden Sae Midori(Yabukita und Asatsuyu) und Yamakai (Variation Yabukita) und gibt diesem Tee das frische, leicht fruchtige Aroma, die strahlende Farbe, die leichte Süße und den reinen Geschmack im Abgang (Nodogoshi). Ein Geschmackserlebnis, das den Teetrinker immer wieder erfreut, BIO-Star.;0527PVJTPWU;17. Sep;8;27/05/2015 13:36:49 MEST;3;;11;;;737069840482;0;DEFAULT;;;
EU-CNPB-F44Z;B00QTPVF40;Bio Kabuse-Pulver No. 1 in der 30g Schmuckdose - Keiko Green Tea;;1204V9VC9N8;15. Sep;0;04/12/2019 08:57:15 MET;1;;11;;;B00QTPVF40;0;DEFAULT;;;
F80760;B01DBXWE7E;FLORAGOLD Pyramidenbeutel schwarzer Tee Bio Vanille, 1er Pack (1 x 38 g);Ein Schwarzer Bio Tee aus kontrolliert biologischem Anbau von Floragold bietet die Basis für diesen beliebten Klassiker. Die wunderbare Bio-Vanille rundet die milde und perfekt abgestimmte Komposition ab. DE-005-ÖKO;0323Q6HV5RC;05. Apr;12;23/03/2016 12:02:36 MET;4;.;11;;;4030683015257;0;DEFAULT;;;
F80761;B01DBXJQ3E;FLORAGOLD Pyramidenbeutel schwarzer Tee Bio Earl Grey, 1er Pack (1 x 38 g);Bio Schwarztee mit natürlichem Bergamotte aromatisiert im praktischen Pyramiden-Teebeutel von Floragold. Aus kontrolliert biologischem Anbau DE-ÖKO-005;0323Q6GVC4O;05. Apr;17;23/03/2016 11:58:27 MET;4;.;11;;;4030683015264;0;DEFAULT;;;
F80763;B01DBZQHZM;FLORAGOLD Pyramidenbeutel grüner Tee Bio Morgensonate, 1er Pack (1 x 45 g);Natürlich aromatisierter grüner Tee mit Mango-Zitrus-Geschmack im praktischen Pyramiden Teebeutel von Floragold. Aus kontrolliert biologischem Anbau DE-005-ÖKO;0323Q6LAMJ0;05. Apr;12;23/03/2016 12:35:23 MET;4;.;11;;;4030683015288;0;DEFAULT;;;
F80764;B01DBZ0VDQ;FLORAGOLD Pyramidenbeutel grüner Tee Bio Lebensenergie, 1er Pack (1 x 45 g);Grüner Bio Tee mit Maracuja-Ingwer-Geschmack von Floragold im praktischen Pyramiden Teebeutel. Aus kontrolliert biologischem Anbau DE-ÖKO-005;0323Q6JUIHI;05. Apr;16;23/03/2016 12:19:20 MET;4;.;11;;;4030683015295;0;DEFAULT;;;
