Händler-SKU;ASIN 1;Artikelbezeichnung;Artikelbeschreibung;Angebotsnummer;Preis;Menge;Erstellungsdatum;Produkt-ID-Typ;Anmerkung zum Artikel;Artikelzustand;Internationaler Versand;Expressversand;Produkt-ID;Anzahl Bestellungen;Versender;Standardpreis;Produktsteuerschlüssel;Nettopreis
1052-6erpack;B00DIXG5M8;Cinnamon Apple Spice - 20 Teebeutel - Celestial Seasonings 6er Pack;diese lebendige Mischung wird von einer aromatischen Explosion des süßen und pikanten vietnamesischen Zimts und Stücken von saftigen, amerikanischen Äpfeln dominiert. Es gibt eine wohlige Schokoladennote und einen Hinweis von cremigem Karamell im Ende, das den anhaltenden Geschmack von Äpfeln und Zimt ergänzt —das macht diesen Tee entspannend und stärkend zugleich!;0305OVCJWVU;22;10;05/03/2014 17:28:17 MET;1;;11;;;B00DIXG5M8;0;DEFAULT;;;
1076;B005NASBA8;Celestial Seasonings Tee Original India Spice Chai 20x Teebeutel;Indisch feurig, voll und rund im Geschmack. Die sonnige Freundlichkeit Indiens in jeder Tasse Chai. Zutaten: Schwarzer Tee, Zimt, Ingwerwurzel, geröstete Zichorienwurzel, Nelken, Kardamom, natürliche Aromen, Muskatnuss, schwarzer Pfeffer, Sternanis und Vanilleschoten;0320NFIT39C;Mrz 79;101;20/03/2013 17:07:37 MET;1;;11;;;B005NASBA8;0;DEFAULT;;;
11-19HY-0N25;B0811SM6DX;Tee Adventskalender himmlische Teegenüsse - Motiv Tee am Kamin -;Ein wirklich schöner Tee-Adventskalender befüllt mit 24x losem Tee für 24 Tage feinsten Teegenuss. Die Maße des Tee Adventskalender betragen ca. H 35,4 x B 29,5 x T 10,6 cm. Der Adventskalender hat 24 Türchen zum Aufklappen. Hinter jedem Türchen befindet sich jeweils ein loser Tee. Der Tee ist lose in kleinen Poly-Flachbeuteln verpackt. Der Kalender ist mit verschiedenen aromatisierten Teesorten befüllt die jeweils für ca. eine Kanne Tee (0,6 Liter) reichen. (360 gramm Tee als Inhalt) ! LIMITIERTE AUFLAGE !;1105V4WQ9AB;19. Sep;82;05/11/2019 10:22:30 MET;3;;11;;;758913511617;0;DEFAULT;;;
11008;B00221DD68;David Rio - Power Chai, Pappwickeldose (1 x 398 g);;0215M490P16;11. Sep;7;15/02/2012 19:17:40 MET;1;;11;;;B00221DD68;0;DEFAULT;;;
11009;B000VYP4EW;David Rio - Tiger Spice Chai, Pappwickeldose (1 x 398 g);;0111MB34RRO;11. Sep;20;11/01/2012 11:03:42 MET;3;;11;;;658564803980;0;DEFAULT;;;
11029;B0041G97H6;David Rio - Toucan Mango Chai, Pappwickeldose (1 x 398 g);;0120MJK1NUI;11. Sep;11;20/01/2012 11:02:20 MET;1;.;11;;;B0041G97H6;0;DEFAULT;;;
12072;B006ZJP77G;Dream of Africa Äthiopien Sidamo Kaffee 250g in Bohnen;Eine beeindruckende Geschmacksvielfaltaus würzigem-kräftigem Aroma mit schokoladig gehaltsvollem Körper;0119MIHSIY6;08. Sep;5;19/01/2012 12:27:25 MET;4;.;11;;;4009636020563;0;DEFAULT;;;
12178;B0077LMOKY;Irish Cream - aromatisierter Kaffee 250g gemahlen;Erlesene Arabica-Bohnen aus Mittel- und Südamerika, veredelt mit feinstem Irish Cream Aroma;0210MZXOUUO;09. Sep;6;10/02/2012 12:05:08 MET;4;;11;;;4009636135717;0;DEFAULT;;;
12252;B00D2PEAZ6;Turquino Arabica Kaffee 250g in Bohnen;Herkunft und Plantage:<BR>Es werden nur die besten Bohnen aus den Anbaugebieten im Osten und im Zentrum von Kuba verwendet. Der Kaffee wächst vorwiegend an steilen Hängen der Gebirgskette in einer durchschnittlichen Höhe von 400-800m. Die Pflanzungen werden von staatlichen Kooperativen bewirtschaftet. Auf künstliche Düngemittel wird verzichtet. Mit großem Aufwand wird die Kontrolle und Entwicklung der Pflanzen betrieben, und sehr viel Wert darauf gelegt, den naturgerechten Anbau zu erhalten und auszubauen. Der Kaffeeanbau erfolgt wie eh und je in traditioneller Handarbeit.<BR>Charakter und Geschmack:<BR>Der beste kubanische Kaffee ist der Turquino. Fast noch ein Geheimtipp, ist er unvergleichlich ausgewogen, würzig, mit sehr gehaltvollem Aroma und einem unglaublich lang anhaltendem Nachgeschmack.Er wird in tieferen Lagen angebaut, aus diesem Grund ist er säureärmer als andere mittelamerikanische Kaffees. Ein rassiger und eigenwilliger Kaffee für echte Gourmets, dessen Bouquet und Geschmack an den Charakter berühmter kubanischer Zigarren erinnert. Das Bohnenbild ist von sehr einheitlicher mittel- bis dunkelbrauner Farbe. Der Kuba Turquino wird von Kennern häufig in einem Atemzug mit dem Jamaica blue Mountain und dem Hawaii Kona genannt.;0529NOTYILC;08. Sep;7;29/05/2013 10:32:29 MEST;4;.;11;;;4009636021119;0;DEFAULT;;;
12374;B0059U9GJM;Spitzen Espresso nach süditalienischer Art -Perfekte Mischung aus afrikanischem Robusta & Brazilkaffee, Ganze Bohne, Café Cult, 1 kg;;0116MG6W1Z6;22. Sep;1;16/01/2012 15:30:39 MET;1;.;11;;;B0059U9GJM;0;DEFAULT;;;
12422g;B0077LMQYI;English Caramel - aromatisierter Kaffee 250g - GEMAHLEN;Erlesene Arabica-Bohnen gemahlen für Kaffeefilter und Siebträger aus Mittel- und Südamerika, veredelt mit feinstem Karamellaroma;0210MZXOYJ6;09. Sep;1;10/02/2012 12:05:16 MET;4;;11;;;4009636135724;0;DEFAULT;;;
13042;B007F9MBRE;Peru Gourmet - Finca Rosenheim Kaffee 250g in Bohnen;Ein ausgezeichneter, balancierter Kaffee mit blumiger Säure, leicht würzig mit vollem Charackter und einem harmonisch Körper.;0229MFXJFI0;08. Sep;6;29/02/2012 11:46:58 MET;4;.;11;;;4009636152899;0;DEFAULT;;;
14032;B006ZJPCBC;Bio Ecuador LOJA Sundried Kaffee 250g in Bohnen;Ein vollendeter Kaffee aus dem Hochland Ecuadors mit prickelnder Säure und einem feinem scholadigen Geschmack;0119MIHSK0I;08. Sep;7;19/01/2012 12:27:41 MET;4;;11;;;4009636179704;0;DEFAULT;;;
190-8;B00C87P4MW;Matcha Supreme Grüntee Pulver - 30gr;Dieser wundervolle Matcha aus Kagoshima verzaubert alle Ihre Sinne: Sein hinreißend intensives Grün in der Schale, sein betörend vielschichtiger Duft - und auf der Zunge die vollendete Balance aus Frische, samtiger Weichheit und überwältigender Aromenfülle machen Matcha Supreme zu einem unvergesslichen Genuss! Besonders als dickflüssiger Matcha (Koicha) sowohl für anspruchsvolle Kenner als auch für Neuentdecker eine Sensation! Aus kontrolliert biologischen Anbau - DE-Öko-013. 1 bis 2 Gramm Matcha Tee werden in eine Matcha-Schale gegeben, mit 60 bis 100 ml heißem Wasser übergossen und mit einem Bambusbesen (Cha-sen genannt) schaumig geschlagen. In der traditionellen Teezeremonie sollte es sich um ca. 80-90 Grad heißes am besten weiches Wasser handeln. Je höher und fester der Schaum, desto besser ist der Tee gelungen.;0406N5NYKW6;36;10;06/04/2013 12:52:53 MEST;4;;11;;;4031322009668;0;DEFAULT;;;
1918;B007M8LR0A;Matcha Premium Grüntee Pulver - 30gr;Bio Matcha Premium in der 30g Schmuckdose. Dies ist der Klassiker unter den Kagoshima-Matchas. Er hat einen zwischen Herbe und Süße gut balancierten, leicht nussigen Geschmack, einen intensiven Duft und eine kräftige, grüne Farbe. Wir empfehlen diesen Matcha für die dünnflüssige Zubereitung (Usucha). Sofern Sie einen kräftigen Geschmack bevorzugen, kann er auch für die dickflüssige Zubereitung (Koicha) verwendet werden. Aus kontrolliert biologischen Anbau - DE-Öko-013;0319M3GVXOC;23. Sep;6;19/03/2012 11:27:43 MET;4;;11;;;4031322000580;0;DEFAULT;;;
