SKU	ASIN	Preis	Menge
RF10	B003JI3A8Y	9.90	9
RF3	B004EXUSMY	17.90	8
RF5	B004EXP9BE	8.50	8
RF52	B003JJF3AG	11.90	5
RF54	B004EXNKWO	13.90	8
RF62	B004EXWB1A	10.90	4
RF8	B004ATHV4U	15.90	8
RF99	B004EXUTVE	7.50	10
RH5167	B00STHDWUG	49.90	26
RR-LBAW-FIF6	B07DY9P3ZM	19.90	3
SD-9Q9M-NCR2	B00TXGENJ6	8.95	9
SHNDAPR003	B06WLKKTDW	19.80	7
SI-3S46-ALC9	B008D19QX0	22.80	2
SJ-9PN1-RJG8	B01DBXWE7E	5.40	11
SN-MQWR-0NX9	B07GFGRWJK	44.90	2
T4-4AY4-H4VX	B00YCD5JFM	9.90	9
U0-JGCQ-SF9S	B005BM66EG	15.40	15
U9-R6ZA-FPS3	B01DBW4T00	5.40	4
V10027	B002HQB87E	7.90	54
V100621KG	B00FA7K2T2	27.90	2
V10119100	B007PNPLBS	3.80	82
V101191KG	B0786P2HFW	33.90	8
V10119250	B0088NJCQY	9.20	33
V10119500	B0088NJD54	17.50	16
V10128	B0002EVTEK	7.90	549
V10145	B0019XRHDA	8.90	7
V10154	B0002EW9AI	7.90	121
V10159	B000LQXCVM	32.90	6
V101631KG	B077MPS5C7	38.50	2
V10163250	B077MTHHG1	10.40	10
V10163500	B007VM8DJA	19.50	5
V10166100	B075K84HY4	3.70	63
V101661KG	B075KHYJBJ	30.90	6
V10166250	B075KB8852	8.80	25
V10166500	B075KG8V3L	16.80	12
V10221	B00114YMQM	15.95	3
V10297	B0038VU6F2	23.90	343
V10311100	B007PNPDXE	3.90	21
V103111KG	B078RLXDZ9	33.90	2
V10311250	B078RLDW23	9.20	8
V10311500	B078RLR8YP	17.50	4
V10415100	B007GKYYZO	4.90	7
V10415250	B077MLX6GD	11.50	3
V10415500	B077MLX2KD	21.90	1
V10628	B01M6ZCNN6	9.50	11
V10681	B01M0PBGGN	19.90	15
V10751	B01M5DW2PZ	8.90	6
V10752	B01MCW62OD	8.90	9
V10760	B00F3OADXW	2.79	53
V10822	B00IJHZGFA	19.00	4
V10993	B000HYWD4A	39.90	4
V10996	B002JDOQYC	39.90	2
V10997	B0007A8XV6	39.90	2
V11115	B00176MN6U	9.90	16
V11274	B087D17CWH	38.50	3
V11336	B014WIQALI	9.90	6
V11419100	B0759KK73N	4.90	49
V114191KG	B0759GYQ3W	42.50	4
V11419250	B07594L5J3	11.50	19
V11419500	B0759K8J5Z	21.90	9
V11499	B00XRWRCRW	27.90	3
V11566100	B077MCP2NF	3.70	15
V115661KG	B077MJWPK7	32.50	1
V11566250	B077MK14BX	8.90	6
V11566500	B077M6WNW2	16.90	3
V11591	B01N016PVS	3.99	30
V11714100	B075KHNWGD	3.90	58
V117141KG	B075KB88ZF	33.90	5
V11714250	B075KMTNMZ	9.20	23
V11714500	B075KPSDLD	17.50	11
V11754	B0081S6A16	27.80	3
V11779100	B075MGG9SW	3.90	23
V117791KG	B075MGP77M	33.90	2
V11779250	B075MFV486	9.20	9
V11779500	B075MHL3MK	17.50	4
V11786100	B075TCRRM8	4.40	15
V117861KG	B075T5F2JJ	38.50	1
V11786250	B075T78GN4	10.40	6
V11786500	B075T91G24	19.90	3
V11801	B00M8YWOT6	12.90	5
V11890100	B07JVFT7XT	3.90	92
V118901KG	B07J5D2SH6	33.90	9
V11890250	B07JVCPP1T	9.20	37
V11890500	B07J4MZYZZ	17.50	18
V15003	B076QCF3G3	6.50	16
V15005	B072K6BCJN	22.95	3
V15006	B076QF4LRF	14.90	2
V15013	B071V57R7X	19.50	3
V15075250	B001PY4UMO	8.95	5
V15076250	B0045LYZ8S	9.30	3
V15077250	B07DPN1314	9.40	6
V150781KG	B00FPQCU48	27.90	2
V150791KG	B00H26RJPY	27.90	2
V15079250	B07DPMV7PF	7.90	3
V15095	B00121XD8W	23.50	10
V15096	B00OORJX4O	19.90	10
V15098	B00C6O3GUO	27.90	6
V15099	B07C5TMPJ7	9.90	3
V15101	B01D040V88	26.90	3
V15102	B00M9VFIKK	28.90	5
V15106	B0042SB12C	12.90	5
V15107	B0044WUFJ6	15.90	9
V15108	B001A5I7E0	32.00	2
V15109	B010NURW5M	18.90	2
V15110	B006OK4S12	48.90	1
V15113	B079WZ9D13	10.50	18
V15114	B079X3JL92	9.90	8
V15115	B079YXJ8BN	14.90	4
V15116	B07G9FG5VJ	13.90	5
V15117	B01D02OII4	7.20	3
V15130	B07GFKRYWM	44.90	2
V15137	B07F3FFXYB	120.00	2
V15138	B07H7NB914	26.90	4
V15151	B01MTQXP45	26.90	111
V15194	B07TWS4KWL	39.90	60
V15200	B01M9DJ91V	7.50	8
V15203	B06Y41725F	3.99	30
V15205	B06Y434CV8	3.99	113
V15253	B07YB69J3B	21.90	23
V15277	B081Z9SGG9	38.50	2
V15278	B078MTD16J	38.50	1
V15279	B078MP27VN	38.50	1
V15280	B078MTVZHX	38.50	1
V15308	B084RMC3F7	6.50	10
V15309	B0867QK1T4	6.50	3
V15310	B07VQGN2BH	6.50	8
V15327	B086SQYGGK	14.90	1
V15333	B086C3HBQ6	9.90	7
V15338	B01HYUE8VU	72.50	1
V15343	B08CXHMBW1	36.90	43
V15344	B08CXX83PT	40.00	44
V15346	B08CXGRDCH	29.90	38
V15348	B01LSSIYBE	49.00	6
V15351	B08GR9XQK8	36.90	78
VY-P47T-N6UT	B07F1PKRSP	28.90	4
W7-QZ6J-ICHS	B07653Y7L7	14.95	5
XW-K405-WKN0	B00TXI2YVI	10.09	8
YD-J97A-YNHB	B00TXFABDO	13.00	9
YR-HFF7-LA3K	B00NTXJN6M	8.90	19
Z4-YA0Z-2A33	B006XBYPWE	5.40	9
ZF-QCQQ-LM95	B00GVW1ASC	25.90	6
ZG-0ZYD-GEJA	B01N6PMOHK	115.00	2
ZM-7TCJ-9RRT	B01068O8NU	34.00	6
asp701	B0002EVTEK	7.90	549
asp704	B0002EW9AI	7.90	121
asp705	B002HQB87E	7.90	54
00033	B0038W1SLM	32.90	0
0008	B0035G9SG8	24.90	0
0009	B0035G50YW	11.90	0
00100	B007OULS5A	22.90	0
02645	B00519G2Z2	6.90	0
02652	B00B7XOEOW	6.90	0
0N-XRLF-Q1AB	B0821H8NFY	69.00	0
1G-ECRR-DNIK	B075MDC3WJ	11.50	0
1Y-29LH-SDGP	B082HW4X8J	8.90	0
30748	B00M9DHIR4	22.90	0
31121	B00EPDN6D6	21.50	0
45-DFSM-1M97	B075XK74SY	20.90	0
4G-3H9C-H465	B075MDD98D	42.50	0
53031	B00HQFXJBE	2.75	0
7K-MLLY-WBAS	B07V24FP86	25.90	0
80038	B014FH9HF2	18.90	0
80055	B01M136AZQ	18.40	0
80068	B01LL9PZD0	22.90	0
80230	B00OOOYII8	13.90	0
81012-6	B01N0382YY	30.00	0
81059	B004VLW6QU	27.90	0
83223	B009SKXU0K	39.50	0
83451	B003GBBR48	18.50	0
84327-250	B007VM8FNY	10.90	0
88-248	B00X5IKHVQ	8.95	0
89057-100	B007VM8DC2	4.40	0
89517-500	B007VM8E58	17.50	0
92643	B007GKYIYQ	4.90	0
93903	B006XBWTD6	5.40	0
9H-PY1P-WHTS	B07F1N8KXT	25.90	0
B00JV1FYBE	B00JV1FYBE	12.00	0
C00ALL	B00LFPT1CC	35.00	0
C0165	B00JV1FYBE	12.00	0
C0166	B00JV1G1U2	12.90	0
